@relation dataset_feat_h

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,1,551,48,1,213,145,8,29,19,clean
2,2,2,3007,80,2,213,844,240,61,54,defective
3,3,4,680,460,4,192,121,23,133,52,defective
1,1,5,510,1039,2,177,352,93,264,255,defective
8,8,2,126,78,8,213,534,112,9,7,defective
4,4,5,116,2759,4,223,864,130,700,1,defective
5,5,9,58,29,9,1577,414,64,96,92,defective
3,3,12,7,10,4,186,367,57,7,0,clean
2,2,14,80,16,2,192,1303,411,15,14,clean
2,2,16,807,44,2,177,772,170,29,30,defective
1,1,1,1248,74,1,213,499,190,48,26,clean
2,2,2,144,42,4,213,491,130,11,11,defective
2,2,4,2365,284,3,192,143,37,156,60,clean
2,2,5,510,1052,3,177,276,69,178,172,defective
1,1,1,256,32,1,213,145,23,16,16,defective
2,2,3,120,26,2,223,376,66,13,13,defective
1,1,4,38,21,1,186,428,69,19,2,clean
2,2,6,6572,416,2,192,378,83,190,60,defective
6,6,2,60,30,6,213,410,111,46,21,defective
3,3,4,262,87,3,223,321,93,99,120,defective
1,1,5,510,1039,2,177,352,93,264,255,defective
2,2,2,28,4,2,213,191,37,134,1,defective
3,3,4,34,42,5,186,401,98,9,5,defective
2,2,6,529,44,3,192,304,76,30,19,clean
2,2,7,24,32,2,177,265,63,15,0,defective
2,2,1,3,21,3,213,0,0,5,2,clean
20,20,6,18,469,49,213,61,0,12,3,defective
20,20,11,5,127,25,223,193,11,187,3,defective
22,22,20,70,1103,111,1577,172,2,469,30,clean
24,24,26,13,2,29,186,124,14,23,4,defective
20,20,33,9,14,31,192,89,2,30,2,defective
27,27,41,39,307,34,177,81,0,29,11,defective
1,1,1,15,15,1,213,25,0,0,15,clean
1,1,1,395,84,1,213,50,13,79,5,clean
1,1,1,20520,298,1,213,315,41,190,108,clean
3,3,1,1066,2396,6,213,407,63,207,191,defective
3,3,3,25024,143,11,192,696,98,289,43,defective
6,6,3,476,189,6,213,833,237,23,23,defective
5,5,5,68,5,8,223,365,101,110,96,defective
4,4,8,135,10,9,192,103,22,82,34,defective
2,2,10,45,4,3,177,334,87,177,170,defective
1,1,1,5,5,1,213,343,108,0,5,clean
3,3,2,1,8,3,186,344,105,1,1,clean
1,1,3,20128,568,2,192,344,113,148,136,defective
16,16,3,4,77,23,213,350,86,14,8,defective
11,11,6,52,4,15,223,296,20,365,4,defective
7,7,9,66,15,9,1577,79,7,50,9,defective
7,7,12,62,1702,7,186,1050,230,68,195,clean
5,5,15,40,18,5,192,357,102,10,9,clean
5,5,18,9,6,5,177,548,30,17,0,clean
10,10,3,26,6,32,213,283,49,58,43,defective
2,2,5,5,16,6,223,347,55,2,4,clean
6,6,8,9,124,9,1577,336,91,16,8,defective
3,3,10,86,30,4,186,155,21,104,11,defective
6,6,13,186,76,15,192,254,70,59,37,defective
1,1,14,510,1039,2,177,352,93,264,255,defective
1,1,1,76,76,1,213,103,41,76,0,clean
1,1,2,10,7,1,1577,103,41,2,5,clean
1,1,1,14,9,1,213,351,111,7,2,clean
1,1,2,21,10,1,223,343,105,3,7,clean
5,5,2,43,14,5,213,564,88,30,19,defective
3,3,4,430,119,3,1577,125,51,43,21,defective
2,2,6,1294,76,2,192,391,120,113,73,defective
1,1,1,551,48,1,213,145,8,29,19,clean
1,1,2,1947,1947,1,223,500,122,1947,0,clean
3,3,1,1066,1699,5,213,192,44,119,220,defective
5,5,2,208,494,7,186,213,35,39,31,defective
2,2,3,175,56,3,192,239,36,4,14,clean
3,3,1,280,417,3,213,507,133,138,1,defective
5,5,3,179,47,7,223,446,123,56,25,defective
3,3,5,430,119,3,1577,125,51,43,21,defective
3,3,6,10,19,3,186,346,22,4,1,clean
4,4,2,2,10,4,213,487,0,2,1,clean
1,1,3,1,1,1,192,547,0,1,0,clean
1,1,1,15,8,1,213,492,0,5,3,clean
1,1,2,10,7,1,223,517,0,5,2,clean
1,1,3,130,31,1,186,180,36,26,5,clean
4,4,5,655,107,6,192,175,30,55,6,defective
1,1,1,154,25,1,213,492,0,11,14,clean
1,1,2,12,12,1,1577,2,0,0,12,clean
1,1,3,196,28,1,192,539,0,14,14,clean
1,1,4,8,9,1,177,546,0,8,1,clean
2,2,1,154,26,2,213,492,0,6,7,clean
4,4,4,292,28,4,192,538,0,33,27,defective
1,1,5,3,4,1,177,542,0,3,1,clean
1,1,1,32,12,1,213,231,53,4,8,clean
2,2,2,4,5,2,223,899,284,0,2,clean
1,1,3,18,18,1,1577,926,292,18,0,defective
3,3,2,259,16,4,213,530,126,209,272,defective
2,2,4,61,1802,9,223,253,95,167,33,defective
3,3,5,6,15,3,186,328,18,4,0,clean
1,1,6,22,23,1,192,3,0,1,22,clean
3,3,2,14,64,3,213,173,43,22,0,defective
1,1,3,49770,1355,3,223,242,123,399,52,defective
1,1,4,138,138,1,186,102,15,138,0,clean
1,1,5,22,23,1,192,3,0,1,22,clean
6,6,2,498,406,7,213,345,88,75,21,defective
2,2,3,28,1284,5,223,380,103,121,135,defective
2,2,5,20,8,2,1577,702,185,18,3,defective
1,1,6,209,209,1,192,116,29,209,0,clean
1,1,7,2,2,1,177,701,186,2,0,clean
2,2,1,5,7,2,213,1,0,3,0,clean
1,1,2,1,2,1,223,53,9,1,1,clean
2,2,3,4,10,2,186,196,35,2,2,clean
1,1,1,73,125,2,213,116,26,37,25,clean
1,1,2,31,31,1,223,56,0,31,0,clean
1,1,3,73,73,1,186,22,7,73,0,clean
2,2,2,1032,184,5,213,647,155,21,69,clean
1,1,3,8532,187,1,192,535,0,108,79,defective
1,1,1,34225,370,1,213,1977,444,185,185,clean
12,12,4,1678,190,21,213,459,101,95,67,defective
4,4,5,777,1651,7,223,396,110,126,109,defective
6,6,7,27,165,6,1577,119,49,24,15,defective
5,5,8,208,854,7,186,210,34,76,46,defective
9,9,11,719,76,21,192,313,67,61,33,defective
1,1,12,510,1039,2,177,352,93,264,255,defective
5,5,1,4,344,6,213,269,77,22,35,defective
4,4,4,6,9,5,223,510,25,6,4,clean
1,1,5,190,29,1,1577,539,0,10,19,clean
2,2,6,1,47,2,186,485,142,2,21,clean
3,3,8,696,27,7,192,254,45,74,45,defective
1,1,9,3,3,1,177,502,138,3,0,clean
3,3,2,382,32,4,213,210,44,12,9,defective
3,3,5,105,37,3,223,257,67,19,14,defective
2,2,7,2365,284,4,192,234,25,136,61,defective
2,2,8,16,1047,3,177,341,86,177,171,defective
1,1,1,31759,440,1,213,1410,321,349,91,clean
3,3,3,27,267,4,213,243,21,70,2,defective
8,8,7,257,17,10,223,385,88,162,112,defective
2,2,8,180,227,3,1577,61,9,7,68,clean
6,6,10,27,16,7,186,206,40,16,8,defective
6,6,12,2665,264,13,192,814,106,249,39,defective
1,1,13,510,1039,2,177,352,93,264,255,defective
1,1,1,76,284,2,213,118,33,130,12,defective
2,2,2,18,34,2,1577,120,50,6,11,defective
1,1,1,100,52,1,213,212,45,2,50,clean
1,1,2,12,100,6,223,70,12,16,0,clean
3,3,4,18,119,3,1577,252,46,39,1,clean
1,1,5,1,16,4,192,107,18,1,2,clean
12,12,3,189,16,18,213,370,97,71,76,defective
1,1,4,9666,233,1,223,663,173,179,54,defective
5,5,6,51,74,5,1577,389,114,20,11,defective
2,2,7,208,842,3,186,165,33,174,106,defective
4,4,10,102,54,8,192,277,65,36,24,defective
1,1,11,510,1039,2,177,352,93,264,255,defective
1,1,1,492,127,1,213,633,177,4,123,clean
1,1,2,4,4,1,223,632,178,2,2,defective
1,1,3,164,45,1,186,241,91,4,41,clean
1,1,4,2500,397,2,192,436,135,100,98,defective
1,1,1,4416,208,1,213,134,26,184,24,defective
1,1,2,12,12,1,1577,135,49,0,12,clean
1,1,3,608,54,1,192,133,49,38,16,defective
5,5,2,219,14,6,213,582,113,153,197,defective
2,2,4,6830,92,3,192,488,128,72,71,defective
4,4,1,1066,2598,6,213,348,82,243,189,defective
1,1,2,728,164,3,223,182,45,26,28,clean
1,1,3,322,322,1,1577,169,41,322,0,defective
7,7,4,208,1755,12,186,200,44,112,33,defective
1,1,5,1,4,2,192,249,58,1,1,clean
6,6,2,13,7,11,213,253,54,29,17,defective
7,7,5,87,28,11,223,327,85,76,67,defective
8,8,7,44,175,11,1577,500,136,25,9,defective
5,5,10,203,29,15,192,234,65,54,32,defective
6,6,12,12,19,7,177,296,78,78,75,defective
1,1,1,648,54,1,213,405,91,36,18,clean
1,1,1,18,75,3,213,266,70,11,13,clean
11,11,5,58,1334,13,213,242,39,57,58,clean
9,9,8,42,15,20,223,859,172,1198,0,defective
9,9,12,5,2,13,1577,353,28,137,92,defective
5,5,14,193,675,10,186,195,35,46,22,defective
3,3,16,11,23,3,192,11,0,2,9,clean
6,6,20,16,2397,12,177,235,38,200,1,defective
12,12,4,42,152,15,213,2088,432,15,7,defective
1,1,5,24,24,2,223,1267,299,7,5,clean
1,1,6,4,5,1,1577,216,27,4,1,clean
3,3,8,67,107,3,177,1048,266,26,11,clean
6,6,4,57,141,10,213,601,143,22,14,clean
4,4,7,13,11,13,223,373,56,232,122,defective
6,6,10,266,1455,12,1577,1955,596,3905,72,defective
5,5,12,34,148,5,186,512,62,26,4,defective
6,6,14,123,14,10,192,465,139,20,12,clean
1,1,15,4,4,1,177,2239,592,4,0,clean
1,1,1,4,4,1,213,77,2,4,0,clean
1,1,1,24,10,1,213,175,0,6,4,clean
1,1,2,11,11,1,223,40,0,0,11,clean
2,2,3,3,4,2,192,44,0,0,1,clean
2,2,4,66,136,2,177,8,0,68,0,clean
1,1,1,14,14,1,213,113,0,14,0,clean
1,1,1,238,31,1,213,43,0,17,14,clean
1,1,1,2295,96,1,213,98,10,51,45,clean
1,1,1,2295,96,1,213,98,10,51,45,clean
2,2,1,4,108,3,213,1482,327,18,18,clean
1,1,2,54,15,1,223,852,223,9,6,clean
8,8,4,21,2,8,213,1423,367,14,22,defective
20,20,6,147,40,34,223,567,128,33,10,defective
5,5,8,28,37,5,1577,410,70,12,4,clean
2,2,10,34,2,2,186,749,185,2,195,clean
4,4,13,556,606,5,192,717,163,178,113,clean
5,5,14,1,174,7,177,1246,242,14,10,defective
1,1,1,1,2,1,213,717,178,1,1,clean
1,1,1,47670,437,1,213,2550,567,210,227,defective
2,2,2,3,6,2,186,2634,591,2,0,clean
1,1,1,33,14,1,213,717,178,11,3,clean
2,2,3,276,20,2,223,765,189,48,9,clean
3,3,1,1,18,3,213,282,63,5,0,clean
2,2,2,17280,694,2,223,408,96,273,73,clean
2,2,3,1501,1517,2,1577,896,180,758,0,clean
1,1,4,172860,1177,1,186,2052,404,1005,172,defective
2,2,5,768,770,2,192,695,142,384,0,clean
1,1,6,5,5,1,177,556,133,5,0,clean
1,1,1,144,26,1,213,2143,555,18,8,defective
1,1,2,154,29,1,223,2218,568,22,7,defective
1,1,1,31759,440,1,213,1410,321,349,91,clean
1,1,1,261057,1022,1,213,865,102,503,519,clean
1,1,2,177,1362,2,1577,51,6,88,592,defective
2,2,1,36,33,2,213,969,222,6,10,clean
1,1,2,1,2,1,223,3419,942,1,1,defective
1,1,3,1,1,1,186,2994,842,1,0,defective
1,1,4,736,55,1,177,4053,1112,32,23,clean
1,1,1,1248,74,1,213,499,190,48,26,clean
1,1,1,231,32,1,213,273,60,21,11,clean
1,1,1,3053,114,1,213,242,96,71,43,defective
1,1,1,227,227,1,213,120,34,227,0,defective
1,1,1,7878,179,1,213,485,149,101,78,clean
1,1,1,7878,179,1,213,485,149,101,78,clean
1,1,1,648,54,1,213,405,91,36,18,clean
1,1,1,38,21,1,213,8,0,19,2,clean
1,1,1,7705,202,2,213,172,6,65,35,clean
1,1,1,1470,77,1,213,261,55,35,42,defective
1,1,1,5720,159,1,213,311,111,104,55,clean
1,1,1,2,2,1,213,22,0,2,0,clean
1,1,1,551,48,1,213,145,8,29,19,clean
1,1,1,551,48,1,213,145,8,29,19,clean
1,1,1,551,48,1,213,145,8,29,19,clean
1,1,1,1288,533,4,213,358,50,68,65,defective
1,1,1,49,14,1,213,1202,284,7,7,defective
1,1,2,24,14,1,186,1212,289,12,2,clean
1,1,1,55,16,1,213,1202,286,11,5,clean
2,2,2,168,125,3,213,340,92,29,26,clean
2,2,4,12,5,2,223,43,0,15,2,clean
1,1,5,73,73,1,186,22,7,73,0,clean
1,1,1,40,14,1,213,98,49,10,4,clean
1,1,1,870,59,1,213,6,0,30,29,clean
1,1,1,10,17,2,213,190,42,7,1,clean
1,1,1,31759,444,2,213,748,168,175,46,clean
1,1,1,1,2,1,213,17,0,1,1,clean
1,1,2,40,41,1,186,25,0,40,1,clean
1,1,1,2,2,1,213,813,134,2,0,clean
2,2,1,64,534,2,213,2353,482,267,0,clean
1,1,1,36,13,1,213,960,205,9,4,clean
4,4,3,26,100,4,223,233,21,20,6,clean
1,1,4,190,29,1,1577,539,0,10,19,clean
2,2,6,142,4,2,186,709,193,38,35,defective
1,1,7,1,1,1,192,1107,314,0,1,clean
3,3,9,10,6,3,177,900,226,629,218,defective
1,1,1,112,23,1,213,2,0,16,7,clean
1,1,2,625,50,1,1577,2,0,25,25,clean
1,1,1,12,7,1,213,4,0,3,4,clean
1,1,1,390,43,1,213,788,225,13,30,clean
1,1,1,550,61,1,213,104,23,11,50,clean
2,2,2,16,4,2,213,501,152,8,3,defective
1,1,3,11,11,1,223,907,286,0,11,clean
1,1,4,18,18,1,1577,926,292,18,0,defective
1,1,5,918,69,1,192,336,69,51,18,defective
6,6,2,1611,224,7,213,554,132,155,163,defective
1,1,3,3721,122,1,223,712,168,61,61,clean
2,2,5,175,299,3,192,122,35,32,75,clean
1,1,1,12,12,1,213,176,45,12,0,defective
1,1,2,49770,1061,2,223,291,127,451,79,defective
1,1,3,6,24,4,186,229,52,6,0,clean
1,1,4,446,446,1,192,284,72,446,0,defective
1,1,5,9,12,2,177,262,63,3,3,clean
1,1,1,25,10,1,213,369,104,5,5,defective
1,1,2,480,47,1,223,366,104,15,32,clean
2,2,1,1,38,4,213,117,28,6,2,defective
1,1,2,27,59,2,223,203,52,12,17,clean
1,1,3,870,97,1,1577,94,3,10,87,defective
1,1,1,30,13,1,213,346,110,3,10,clean
1,1,1,18,75,3,213,266,70,11,13,clean
1,1,1,5,6,1,213,188,49,5,1,clean
1,1,1,24,14,1,213,642,147,12,2,clean
2,2,2,2,5,2,213,420,94,2,1,clean
3,3,4,2,2,3,223,527,87,2,0,clean
1,1,5,8100,180,1,186,101,2,90,90,defective
1,1,6,3,4,1,192,572,118,3,1,clean
2,2,2,2,2,3,213,283,58,0,6,clean
1,1,3,125,1441,4,223,372,55,217,142,defective
3,3,4,71,137,3,186,348,66,43,2,defective
1,1,5,21,10,1,177,283,64,7,3,clean
1,1,1,24,14,1,213,642,147,12,2,clean
1,1,1,1850,1850,1,213,1026,134,1850,0,clean
1,1,1,20520,298,1,213,315,41,190,108,clean
2,2,1,304,44,2,213,844,0,10,11,clean
1,1,2,1,2,1,223,846,0,1,1,clean
1,1,3,35,12,1,1577,846,0,5,7,clean
3,3,4,1,14,3,186,846,0,2,2,clean
3,3,6,4,12,3,177,846,0,2,3,clean
1,1,1,1248,74,1,213,499,190,48,26,clean
1,1,1,111,111,1,213,32,0,111,0,clean
1,1,1,1248,74,1,213,499,190,48,26,clean
1,1,1,188,222,3,213,28,3,72,2,defective
1,1,1,1260,72,1,213,283,17,30,42,clean
1,1,1,14,15,1,213,14,0,14,1,clean
1,1,1,289,2084,12,213,335,74,125,48,defective
1,1,1,227,227,1,213,120,34,227,0,defective
1,1,1,15,15,1,213,25,0,0,15,clean
1,1,1,20520,298,1,213,315,41,190,108,clean
1,1,1,31759,440,1,213,1410,321,349,91,clean
1,1,1,31759,440,1,213,1410,321,349,91,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,38,38,1,213,10,0,0,38,clean
1,1,1,8,8,2,213,1374,283,2,1,clean
5,5,3,3,139,14,186,940,178,17,1,clean
2,2,4,6,1204,3,177,733,103,400,0,clean
1,1,1,36,56,2,213,313,37,27,1,clean
2,2,2,3,44,2,223,430,77,10,11,clean
9,9,4,59,13,9,213,645,152,14,34,defective
6,6,8,10,4,7,223,692,147,6,2,defective
11,11,14,37,24,20,1577,685,179,144,6,defective
7,7,18,57,21,7,186,813,217,24,4,defective
14,14,23,281,469,15,192,658,175,77,24,defective
14,14,28,16,6,18,177,930,216,154,60,defective
1,1,1,7,8,1,213,3,0,1,7,clean
1,1,1,40,14,1,213,98,49,10,4,clean
1,1,1,40,14,1,213,98,49,10,4,clean
2,2,2,10607,10616,2,1577,2097,27,5307,1,clean
1,1,1,37,37,1,213,3008,714,37,0,clean
1,1,2,190992,968,1,223,3323,758,692,276,clean
4,4,5,8781,851,4,186,3865,884,174,110,defective
2,2,6,651,559,2,192,4035,917,188,91,clean
1,1,7,324384,1150,1,177,3951,853,496,654,clean
1,1,1,14,9,1,213,2987,241,7,2,clean
1,1,2,760,59,1,186,3612,216,40,19,clean
1,1,3,2,2,1,192,3504,313,2,0,clean
1,1,4,5,5,1,177,1331,131,0,5,clean
1,1,1,15,15,1,213,25,0,0,15,clean
1,1,1,4,4,1,213,663,114,2,2,clean
5,5,3,29,1082,14,213,1923,466,78,4,clean
2,2,5,1,2,2,223,1530,381,1,2,clean
5,5,7,109,15,8,1577,1517,476,105,98,defective
1,1,8,5106,143,1,186,1109,316,74,69,defective
3,3,10,3342,491,4,192,790,173,194,97,defective
2,2,11,10,3095,5,177,741,180,437,181,defective
1,1,1,6,6,1,213,1410,371,0,6,clean
1,1,1,40,28,2,213,68,27,10,4,clean
1,1,2,1470,2894,2,1577,271,0,1447,0,clean
2,2,3,84,146,2,186,70,31,67,6,clean
1,1,1,1957,122,1,213,1069,235,19,103,clean
2,2,2,14,10,2,213,313,69,3,4,clean
1,1,1,35,12,1,213,3414,634,5,7,clean
1,1,2,24,11,1,223,3422,637,8,3,clean
1,1,3,8,6,1,192,1036,206,2,4,clean
1,1,4,95,24,1,177,878,234,19,5,clean
1,1,1,24,14,1,213,642,147,12,2,clean
1,1,1,31759,440,1,213,1410,321,349,91,clean
1,1,1,5,6,1,213,188,49,5,1,clean
1,1,1,31759,440,1,213,1410,321,349,91,clean
1,1,2,6643,328,2,186,1,0,91,73,clean
6,6,5,62,168,7,213,1263,100,72,6,defective
2,2,6,1,34,7,223,24,2,2,2,defective
2,2,8,480,39,2,1577,1851,118,138,7,clean
4,4,11,61,31,6,186,559,31,47,0,clean
4,4,14,272,112,5,192,2100,183,147,1,defective
6,6,18,36,18,9,177,1737,175,18,3,defective
2,2,2,6,24,2,213,6027,1516,12,0,defective
1,1,3,18,9,1,1577,6193,1561,6,3,clean
1,1,1,1052,998,2,213,1272,260,236,263,clean
1,1,2,1,2,1,223,2621,526,1,1,clean
1,1,1,1052,998,2,213,1272,260,236,263,clean
3,3,1,32,68,3,213,526,132,11,11,clean
3,3,1,25,155,3,213,1171,278,33,18,defective
1,1,2,96,22,1,223,1439,347,16,6,defective
1,1,3,1092,121,2,192,761,174,35,25,clean
3,3,1,336,136,3,213,362,78,29,16,clean
1,1,1,75,20,1,213,6335,1915,15,5,clean
1,1,2,226576,952,1,1577,6829,2100,476,476,defective
2,2,1,1,4,2,213,635,134,1,1,defective
2,2,2,858,67,2,192,648,134,18,15,clean
3,3,1,950,139,3,213,358,79,20,25,defective
2,2,2,268,141,2,213,1412,337,50,25,defective
3,3,1,168,61,3,213,6316,1921,16,3,defective
1,1,2,226576,952,1,1577,6829,2100,476,476,defective
1,1,3,112,22,1,186,6904,2129,14,8,clean
7,7,5,1022,150,7,192,7147,2183,61,13,defective
1,1,1,270,51,1,213,6391,1939,45,6,clean
1,1,2,226576,952,1,1577,6829,2100,476,476,defective
2,2,3,1092,134,2,192,6995,2143,33,33,defective
1,1,1,5,5,1,213,355,0,5,0,clean
