@relation 'dataset_file_h-weka.filters.supervised.instance.SMOTE-C0-K5-P3000.0-S1-weka.filters.unsupervised.attribute.Remove-R1-6,8,10-11'

@attribute mods numeric
@attribute cyco numeric
@attribute label {clean,defective}

@data
2188,16,clean
1692,8,clean
1454,9,clean
1520,14,clean
1700,51,clean
1355,92,clean
2188,0,clean
1692,0,clean
1700,0,clean
2188,47,clean
1692,47,clean
1454,47,clean
1700,47,clean
2188,167,clean
1692,166,clean
1454,168,clean
1520,194,clean
1700,192,clean
1355,167,clean
2188,5,clean
1692,5,clean
1454,5,clean
1520,5,clean
1700,5,clean
2188,159,clean
1692,159,clean
1700,159,clean
1355,159,clean
2188,237,clean
1692,236,clean
1454,236,clean
1520,237,clean
1700,240,clean
1355,254,clean
2188,15,clean
1520,15,clean
1700,15,clean
2188,71,clean
1520,74,clean
1700,85,clean
1355,87,clean
2188,9,clean
1454,9,clean
1700,9,clean
2188,12,clean
2188,16,clean
1355,16,clean
2188,48,clean
1454,34,clean
2188,5,clean
2188,7,clean
2188,0,clean
2188,28,defective
2188,95,clean
1454,95,clean
1520,100,clean
1700,100,clean
1355,100,clean
2188,53,clean
2188,80,clean
2188,23,clean
2188,597,clean
1692,613,clean
1454,620,clean
1520,629,clean
1700,648,clean
1355,658,clean
2188,421,clean
1692,441,clean
1454,441,clean
1700,469,clean
1355,483,clean
2188,56,defective
1692,64,clean
1454,64,clean
1700,64,clean
2188,40,clean
1454,40,clean
1520,40,clean
1700,54,clean
1355,72,clean
2188,416,clean
1692,416,clean
1454,419,clean
1700,440,clean
1355,446,clean
2188,221,clean
1692,226,clean
1454,237,clean
1520,238,clean
1700,242,clean
1355,242,clean
2188,218,clean
1454,218,clean
1520,218,clean
1700,219,clean
1355,220,clean
2188,25,clean
1692,25,clean
1454,32,clean
1520,40,clean
1700,40,clean
1355,42,clean
2188,397,clean
1692,397,clean
1454,409,clean
1520,425,clean
1700,428,defective
1355,433,clean
2188,99,clean
1692,99,clean
1454,100,clean
1355,100,clean
2188,18,clean
1692,18,clean
1520,18,clean
1700,20,clean
2188,300,clean
1520,301,clean
1700,301,clean
2188,57,clean
1454,57,clean
2188,0,clean
1520,0,clean
2188,8,clean
1454,8,clean
2188,8,clean
2188,31,clean
1700,31,clean
2188,339,clean
1692,343,clean
1454,357,clean
1520,357,clean
1700,382,clean
1355,391,clean
2188,122,clean
1692,122,clean
1520,122,clean
1700,150,clean
1355,156,clean
2188,223,clean
1692,224,clean
1454,224,clean
1520,228,clean
1700,233,clean
1355,258,clean
2188,0,clean
1454,0,clean
1520,0,clean
1700,0,clean
1355,0,clean
2188,61,clean
1520,61,clean
1700,61,clean
1355,61,clean
2188,4,clean
1454,4,clean
1520,4,clean
1700,4,clean
1355,4,clean
2188,107,clean
1454,107,clean
1520,118,clean
1700,125,clean
1355,125,clean
2188,227,clean
1692,227,clean
1454,231,clean
1520,231,clean
1700,221,clean
1355,219,clean
2188,64,clean
1692,67,clean
1454,66,clean
1520,67,clean
2188,135,clean
1700,135,clean
1355,136,clean
2188,396,clean
1692,399,clean
1454,399,clean
1520,407,clean
1700,387,clean
1355,372,clean
2188,105,clean
1454,128,clean
1520,141,clean
1700,142,clean
1355,142,clean
2188,18,clean
2188,14,clean
2188,12,clean
2188,14,clean
2188,41,clean
2188,0,clean
2188,60,clean
2188,36,clean
1692,36,clean
1454,54,clean
1700,54,clean
1355,54,defective
2188,139,clean
1692,155,clean
1520,156,clean
1700,158,clean
2188,14,clean
1692,16,clean
1520,16,clean
2188,29,clean
1700,28,clean
2188,1,clean
2188,1,clean
1355,1,clean
2188,249,clean
1700,249,clean
2188,20,clean
1520,20,clean
2188,46,clean
2188,23,clean
1454,33,clean
1520,34,clean
2188,29,clean
2188,35,clean
1700,33,clean
2188,18,clean
2188,17,clean
1692,18,clean
1520,18,clean
1700,19,clean
2188,103,clean
1692,118,clean
1520,120,clean
1700,118,clean
1355,114,clean
2188,211,clean
1692,211,clean
1454,212,clean
1520,212,clean
1700,213,clean
2188,31,defective
1692,43,clean
1520,45,clean
1700,45,clean
2188,0,clean
1692,0,clean
1520,0,clean
1700,0,clean
